,city,lat,temp,humidity,clouds,wind,date
0,ribeira grande,38.52,75.27,96,88,9.51,1538096114
1,rikitea,-23.12,72.21,100,76,15.77,1538096114
2,esperance,10.24,75.2,94,20,4.59,1538092800
3,amderma,-34.42,57.27,93,92,11.41,1538096115
4,hermanus,-53.16,41.85,60,0,5.82,1538092800
5,punta arenas,-9.8,79.05,100,0,10.74,1538096115
6,atuona,71.64,28.56,100,0,8.5,1538096116
7,tiksi,18.69,76.89,24,32,5.48,1538096116
8,bilma,-0.74,75.2,69,75,19.46,1538092800
9,puerto ayora,-23.58,79.14,50,0,10.18,1538096116
10,bluff,63.59,48.2,49,75,2.24,1538092800
11,mayo,-6.13,67.26,97,12,5.14,1538096117
12,mbuji-mayi,42.65,58.77,77,90,1.68,1538092440
13,albany,43.27,64.4,82,0,1.12,1538094600
14,bereda,-16.7,76.62,100,88,9.73,1538096118
15,fare,63.05,46.11,92,92,16.67,1538096118
16,beringovskiy,65.61,32,100,92,26.4,1538092200
17,tasiilaq,40.36,60.69,89,0,3.36,1538096118
18,belmonte,30.04,74.86,84,90,5.82,1538093700
19,nome,54.78,59,62,75,3.36,1538092800
20,smithers,27.87,68,64,75,16.11,1538092800
21,barentsburg,13.22,77,94,75,18.34,1538094900
22,adrar,45.36,55.47,83,1,3.36,1538094900
23,bathsheba,53.15,55.02,89,0,18.45,1538096120
24,dibaya,-46.19,54.66,85,12,8.72,1538096120
25,saint-philippe,73.51,40.26,92,64,15.99,1538096120
26,vawkavysk,15.34,70.32,96,44,2.57,1538096120
27,mataura,-28.55,57.36,96,92,1.45,1538096121
28,vaitupu,20.87,84.54,97,12,18.57,1538096121
29,dikson,-33.21,53.94,67,68,8.39,1538096114
30,vaini,14.9,79.32,96,0,15.21,1538096121
31,oranjemund,59.7,42.8,87,75,4.47,1538092800
32,celestun,77.48,16.95,100,36,3.91,1538096122
33,jamestown,-2.57,84.99,100,8,9.17,1538096122
34,sao filipe,46.37,53.6,71,20,2.13,1538094600
35,nikolskoye,-42.88,53.6,40,75,17.22,1538094600
36,qaanaaq,3.07,84.54,100,0,7.94,1538096122
37,kavieng,35.73,67.15,82,40,3.36,1538092800
38,darmanesti,-54.81,48.2,31,0,8.05,1538092800
39,hobart,50.68,51.42,90,0,3.13,1538096123
40,butaritari,47.26,46.92,57,64,9.06,1538096123
41,hasaki,6.8,78.8,94,0,6.93,1538092800
42,ushuaia,64.42,48.2,70,75,13.42,1538092800
43,severo-kurilsk,71.97,31.08,96,100,17,1538096124
44,tokmak,39.95,68,46,1,9.17,1538092380
45,georgetown,-34.58,78.8,24,0,17.22,1538092800
46,chagda,-8.76,83.73,71,48,2.13,1538096125
47,provideniya,-0.6,80.49,100,76,23.82,1538096125
48,saskylakh,39.45,59,54,75,8.05,1538092200
49,kodiak,-46.28,53.76,78,0,6.93,1538096126
50,flinders,31.31,72.81,88,90,3.13,1538094900
51,boca do acre,68.75,45.12,68,68,7.61,1538096126
52,hithadhoo,21.35,80.71,74,90,6.93,1538094600
53,saint george,19.71,80.89,63,20,14.99,1538092560
54,kaitangata,28.66,73.4,78,0,9.17,1538094600
55,mys shmidta,43.21,55.56,76,90,4.7,1538094900
56,taolanaro,-13.85,80.58,90,0,10.74,1538096127
57,alexandria,47.8,46.4,52,90,4.47,1538092800
58,cherskiy,27.97,81.84,49,0,10.63,1538096128
59,makakilo city,63.01,37.65,96,68,2.91,1538096128
60,hilo,-9.17,74.91,95,68,1.01,1538096128
61,tumannyy,35.03,52.05,98,24,2.68,1538096129
62,los llanos de aridane,-33.64,52.59,100,20,19.69,1538096129
63,rock falls,37.5,70.41,100,80,13.42,1538096129
64,alyangula,19.55,77,88,75,4.7,1538092800
65,zhezkazgan,15.8,60.69,94,76,1.57,1538096130
66,guerrero negro,39.62,54.93,87,90,11.41,1538095860
67,sinkat,-30.65,41.52,32,0,3.13,1538096130
68,chernyshevskiy,53.95,45.12,92,12,13.65,1538096130
69,aripuana,46.45,49.08,81,0,2.91,1538096130
70,yuncheng,66.77,34.68,89,8,6.04,1538096130
71,busselton,60.7,36.21,77,32,6.93,1538096131
72,weihai,71.98,36.84,97,0,14.76,1538096131
73,mao,65.95,27.12,83,20,5.59,1538096131
74,nenton,31.13,53.31,79,0,2.35,1538096131
75,palabuhanratu,53.19,44.49,89,0,13.42,1538096132
